RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
309,"ARMINASBALEVICIUSACCEPTED
Europe Central
Age 25
176 cm | 86 kg
View Profile",5106,"26th (465 reps)14 rounds +
8 toes-to-bars
9 clean & jerksJudged by barry mcdermott at CrossFit 82.","491st (4:27)110 reps
330 lb.(4:27)Judged by barry mcdermott at CrossFit 82.",1142nd(330 lb)330 lb.(4:27)Judged by barry mcdermott at CrossFit 82.,"2179th (690 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
6 ring muscle-ups(13:17)Judged by Jerry Linehan at CrossFit 82.","828th (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:58)Judged by barry mcdermott at CrossFit 82.","440th (163 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 16 PUJudged by barry mcdermott at CrossFit 82."
310,"MIKEWAGNERACCEPTED
North Central
Age 25
70 in | 200 lb
View Profile",5116,"1123rd (420 reps)13 rounds +
4 toes-to-barsJudged by Tiffany Thelen at CrossFit Fond du Lac.","788th (4:35)110 reps
337 lb.(4:35)Judged by Nick Bloch at CrossFit Fond du Lac.",693rd (337 lb)337 lb.(4:35)Judged by Nick Bloch at CrossFit Fond du Lac.,"1213th (695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(12:25)Judged by Nick Bloch at CrossFit Fond du Lac.","1004th (152 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
6 deadlifts(7:32)Judged by Nick Bloch at CrossFit Fond du Lac.","295th (167 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 20 PUJudged by Nick Bloch at CrossFit Fond du Lac."
311,"MAXIMEROY DE SYLVA
Canada East
Age 25
67 in | 165 lb
View Profile",5136,"143rd (448 reps)14 rounds +
0 toes-to-barsJudged by Katherine Delorme at CrossFit Adm.","304th (4:20)110 reps
330 lb.(4:20)Judged by Stéphanie Roy at CrossFit Adm.",1140th (330 lb)330 lb.(4:20)Judged by Stéphanie Roy at CrossFit Adm.,"3273rd (686 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
2 ring muscle-ups(13:52)Judged by Stephanie Roy at CrossFit Adm.",120th (8:03)165 reps(8:03)Judged by Charles Felx Leduc at CrossFit Adm.,"156th (171 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
3 thr.Judged by Stephanie Roy at CrossFit Adm."
312,"FIODORSERKOVDECLINED
Asia
Age 26
175 cm | 90 kg
View Profile",5181,"446th (434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Sergey Matalasov at CrossFit EKB.","2527th(5:03)110 reps
358 lb.(5:03)Judged by Sergey Matalasov at CrossFit EKB.",163rd (358 lb)358 lb.(5:03)Judged by Sergey Matalasov at CrossFit EKB.,"719th (734 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
38 double-unders(12:13)Judged by Andrey Poleschuk at CrossFit RTBC.","965th (153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:47)Judged by Andrey Poleschuk at CrossFit RTBC.","361st (165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Alexey Kulikov at CrossFit EKB."
313,"KYLEKASPERBAUER
North Central
Age 36
68 in | 190 lb
View Profile",5192,"1787th (410 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
8 caloriesJudged by Briana Siegert at CrossFit Kinesis.","223rd (4:17)110 reps
327 lb.(4:17)Judged by Rebecca Berendsen at CrossFit Kinesis.",1312th (327 lb)327 lb.(4:17)Judged by Rebecca Berendsen at CrossFit Kinesis.,"605th (752 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
56 double-unders(12:10)Judged by Ben Collins at CrossFit Kinesis.","546th (161 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
30 ft. handstand walk(8:39)Judged by Eric Cohen at CrossFit Kinesis.","719th (158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Judy Gelber at CrossFit Kinesis."
314,"BILLYPULLENACCEPTED
Asia
Age 26
178 cm | 87 kg
View Profile",5208,"671st (429 reps)13 rounds +
8 toes-to-bars
5 clean & jerksJudged by Stefan Northfield at CrossFit Phuket.","188th (4:15)110 reps
335 lb.(4:15)Judged by Nathalie Bruynooghe at CrossFit Phuket.",834th (335 lb)335 lb.(4:15)Judged by Nathalie Bruynooghe at CrossFit Phuket.,"2766th (688 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
4 ring muscle-ups(13:43)Judged by Nathalie Bruynooghe at CrossFit Phuket.","664th (158 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
15 ft. handstand walk(8:39)Judged by Nathalie Bruynooghe at CrossFit Phuket.","85th (175 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
7 thr.Judged by Nathalie Bruynooghe at CrossFit Phuket."
315,"ANTONYMONKSACCEPTED
Africa Middle East
Age 28
72 in | 88 kg
View Profile",5235,"289th (441 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Tyler Clarke at CrossFit Yas.","352nd(4:22)110 reps
315 lb.(4:22)Judged by Alex Evans at CrossFit Yas.",2593rd (315 lb)315 lb.(4:22)Judged by Alex Evans at CrossFit Yas.,"531st (763 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
67 double-unders(11:57)Judged by Billy Graham at CrossFit Yas.",307th (8:48)165 reps(8:48)Judged by Sabine Whitfield at CrossFit Yas.,"1163rd (152 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 5 PUJudged by Sabine Whitfield at CrossFit Yas."
316,"PAOLOROSSILACCEPTED
Central America
Age 28
173 cm | 184 lb
View Profile",5240,"631st (430 reps)13 rounds +
8 toes-to-bars
6 clean & jerksJudged by Hugo De Leon at Oaks CrossFit.","788th (4:35)110 reps
357 lb.(4:35)Judged by Hugo De Leon at Oaks CrossFit.",175th (357 lb)357 lb.(4:35)Judged by Hugo De Leon at Oaks CrossFit.,"1053rd (698 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
2 double-unders(12:47)Judged by Hugo De Leon at Oaks CrossFit.","2415th (139 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
15 ft. handstand walk(8:48)Judged by Hugo De Leon at Oaks CrossFit.","178th (170 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
2 thr.Judged by Hugo De Leon at Oaks CrossFit."
317,"KYLEFRANKENFELDTEAM
Australasia
Age 28
181 cm | 205 lb
View Profile",5247,"143rd (448 reps)14 rounds +
0 toes-to-barsJudged by Filip Sarna at CrossFit Moorabbin.","249th (4:18)110 reps
332 lb.(4:18)Judged by Filip Sarna at CrossFit Moorabbin.",1017th (332 lb)332 lb.(4:18)Judged by Filip Sarna at CrossFit Moorabbin.,"2488th (689 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
5 ring muscle-ups(13:35)Judged by Filip Sarna at CrossFit Moorabbin.","951st (153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:40)Judged by Filip Sarna at CrossFit Moorabbin.","399th (164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Filip Sarna at CrossFit Moorabbin."
317,"SEBASTIANMEDINAACCEPTED
North East
Age 28
68 in | 183 lb
View Profile",5247,"719th (428 reps)13 rounds +
8 toes-to-bars
4 clean & jerksJudged by Joseph Floria at CrossFit Nine7.","523rd (4:28)110 reps
322 lb.(4:28)Judged by Joseph Floria at CrossFit Nine7.",1797th (322 lb)322 lb.(4:28)Judged by Joseph Floria at CrossFit Nine7.,"906th (713 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
17 double-unders(9:30)Judged by Joseph Floria at CrossFit Nine7.","1100th (151 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
5 deadlifts(7:48)Judged by Joseph Floria at CrossFit Nine7.","202nd (169 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr.Judged by Andrew Lee at CrossFit Nine7."
319,"JAMESCONNEWACCEPTED
Australasia
Age 29
177 cm | 191 lb
View Profile",5249,"230th (444 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
10 caloriesJudged by Joshua Gardiner at CrossFit Ruark.","1431st(4:48)110 reps
315 lb.(4:48)Judged by Olly Ryan at CrossFit 3216.",2617th (315 lb)315 lb.(4:48)Judged by Olly Ryan at CrossFit 3216.,"601st (753 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
57 double-unders(12:00)Judged by Joshua Gardiner at CrossFit Ruark.",294th (8:46)165 reps(8:46)Judged by Joshua Gardiner at CrossFit Ruark.,"76th (176 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
8 thr.Judged by Joshua Gardiner at CrossFit Ruark."
320,"ADAMKLINKACCEPTED
Mid Atlantic
Age 28
72 in | 220 lb
View Profile",5277,"11th (472 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Kelley Boblit at CrossFit Krypton.","788th (4:35)110 reps
311 lb.(4:35)Judged by Ben Smith at CrossFit Krypton.",3315th (311 lb)311 lb.(4:35)Judged by Ben Smith at CrossFit Krypton.,"59th (843 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
27 double-unders(12:56)Judged by Kelley Boblit at CrossFit Krypton.","559th (160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:18)Judged by Chuck Smith at CrossFit Krypton.","545th (161 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 14 PUJudged by Alec Smith at CrossFit Krypton."
321,"CAMCROCKETT
Central East
Age 20
69 in | 185 lb
View Profile",5292,"214th (445 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
11 caloriesJudged by Jason Welch at CrossFit Cadre.","920th (4:38)110 reps
322 lb.(4:38)Judged by Jason Welch at CrossFit Cadre.",1802nd(322 lb)322 lb.(4:38)Judged by Jason Welch at CrossFit Cadre.,"143rd (811 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
15 snatches(13:25)Judged by Jason Welch at CrossFit Cadre.","1726th (144 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
40 ft. handstand walk(8:03)Judged by Jason Welch at CrossFit Cadre.","487th (162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Jason Welch at CrossFit Cadre."
322,"LUKASZTRZONKOWSKI
Europe North
Age 35
179 cm | 98 kg
View Profile",5296,"320th (439 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
5 caloriesJudged by Wojciech Pisarczyk at CrossFit 72D.","1811th(4:54)110 reps
362 lb.(4:54)Judged by Wojciech Pisarczyk at CrossFit 72D.",133rd (362 lb)362 lb.(4:54)Judged by Wojciech Pisarczyk at CrossFit 72D.,"685th (739 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
43 double-unders(11:52)Judged by Wojciech Pisarczyk at CrossFit 72D.",276th (8:43)165 reps(8:43)Judged by Wojciech Pisarczyk at CrossFit 72D.,"2071st (144 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
18 thr.Judged by Wojciech Pisarczyk at CrossFit 72D."
323,"DANIELPETROACCEPTED
South East
Age 30
71 in | 210 lb
View Profile",5316,"320th (439 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
5 caloriesJudged by Karla Bayfield at CrossFit West Cobb.","2897th(5:08)110 reps
337 lb.(5:08)Judged by Karla Bayfield at CrossFit West Cobb.",723rd (337 lb)337 lb.(5:08)Judged by Karla Bayfield at CrossFit West Cobb.,"426th (778 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
82 double-unders(11:59)Judged by Nathan Wilder at CrossFit West Cobb.","719th (157 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
10 ft. handstand walk(8:53)Judged by Nathan Wilder at CrossFit West Cobb.","231st (168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Karla Bayfield at CrossFit West Cobb."
324,"DIMITRISFOTIOUACCEPTED
Europe Central
Age 27
168 cm | 78 kg
View Profile",5318,"593rd (431 reps)13 rounds +
8 toes-to-bars
7 clean & jerksJudged by Anastasios Chatzidakis at Mad Hall CrossFit.","161st (4:13)110 reps
335 lb.(4:13)Judged by Anastasios Chatzidakis at Mad Hall CrossFit.",833rd (335 lb)335 lb.(4:13)Judged by Anastasios Chatzidakis at Mad Hall CrossFit.,"1163rd (696 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups(14:00)Judged by Anastasios Chatzidakis at Mad Hall CrossFit.","1236th (150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(9:00)Judged by Anastasios Chatzidakis at Mad Hall CrossFit.","1332nd(150 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 3 PUJudged by Anastasios Chatzidakis at Mad Hall CrossFit."
325,"GIOVANNICONTRERASTEAM
South Central
Age 27
72 in | 198 lb
View Profile",5327,"1078th (421 reps)13 rounds +
5 toes-to-barsJudged by Patti Botello at LoneStar CrossFit.","1387th(4:47)110 reps
338 lb.(4:47)Judged by Corey McDonnough at LoneStar CrossFit.",651st (338 lb)338 lb.(4:47)Judged by Corey McDonnough at LoneStar CrossFit.,"1397th (694 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
10 ring muscle-ups(12:52)Judged by Patti Botello at LoneStar CrossFit.",269th (8:42)165 reps(8:42)Judged by Jessica Aelvoet at LoneStar CrossFit.,"545th (161 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 14 PUJudged by Casey Viator at LoneStar CrossFit."
326,"NIKLASHECHTACCEPTED
South West
Age 27
70 in | 205 lb
View Profile",5329,"386th (436 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
2 caloriesJudged by Chad Cole at CrossFit Apollo.","22nd (3:57)110 reps
321 lb.(3:57)Judged by Chad Cole at CrossFit Apollo.",1903rd (321 lb)321 lb.(3:57)Judged by Chad Cole at CrossFit Apollo.,"2234th (690 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
6 ring muscle-ups(13:25)Judged by Chad Cole at CrossFit Apollo.",423rd (8:59)165 reps(8:59)Judged by Chad Cole at CrossFit Apollo.,"361st (165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Chad Cole at CrossFit Apollo."
327,"RICHARDBERRETHACCEPTED
South Central
Age 21
67 in | 178 lb
View Profile",5355,"631st (430 reps)13 rounds +
8 toes-to-bars
6 clean & jerksJudged by Jackie Vincent at CrossFit Argyle.","110th (4:09)110 reps
312 lb.(4:09)Judged by Bryan Reeves at CrossFit Argyle.",3194th (312 lb)312 lb.(4:09)Judged by Bryan Reeves at CrossFit Argyle.,"657th (743 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
47 double-unders(12:25)Judged by Jackie Vincent at CrossFit Argyle.",218th (8:33)165 reps(8:33)Judged by Braden Rubey at CrossFit Argyle.,"545th (161 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 14 PUJudged by Jason Wade at CrossFit Argyle."
328,"SEMENKOKOTLIV
Europe North
Age 31
177 cm | 84 kg
View Profile",5367,"559th (432 reps)13 rounds +
8 toes-to-bars
8 clean & jerksJudged by Nataly Egorova at Red Tower CrossFit.","491st (4:27)110 reps
323 lb.(4:27)Judged by Nataly Egorova at Red Tower CrossFit.",1767th (323 lb)323 lb.(4:27)Judged by Nataly Egorova at Red Tower CrossFit.,"1051st (698 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
2 double-unders(12:44)Judged by Nataly Egorova at Red Tower CrossFit.","1100th (151 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
5 deadlifts(7:48)Judged by Nataly Egorova at Red Tower CrossFit.","399th (164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Nataly Egorova at Red Tower CrossFit."
329,"DALTONMANKINACCEPTED
South Central
Age 22
69 in | 185 lb
View Profile",5383,"2089th (406 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Neale Currie at CrossFit Wild West.","849th (4:36)110 reps
337 lb.(4:36)Judged by Dakotah Mankin at CrossFit Wild West.",694th (337 lb)337 lb.(4:36)Judged by Dakotah Mankin at CrossFit Wild West.,"632nd (746 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
50 double-unders(12:01)Judged by Dakotah Mankin at CrossFit Wild West.","888th (154 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
8 deadlifts(7:16)Judged by Neale Currie at CrossFit Wild West.","231st (168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Neale Currie at CrossFit Wild West."
330,"DILLONBAILEYACCEPTED
South East
Age 26
70 in | 194 lb
View Profile",5388,"1123rd (420 reps)13 rounds +
4 toes-to-barsJudged by Guy Gyorkos at CrossFit Westchase.","1264th(4:45)110 reps
332 lb.(4:45)Judged by Guy Gyorkos at CrossFit Westchase.",1034th (332 lb)332 lb.(4:45)Judged by Guy Gyorkos at CrossFit Westchase.,"398th (782 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
86 double-unders(11:26)Judged by Guy Gyorkos at CrossFit Westchase.","787th (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:54)Judged by Guy Gyorkos at CrossFit Westchase.","782nd (157 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 10 PUJudged by Guy Gyorkos at CrossFit Westchase."
331,"KEVINWINKENSACCEPTED
Europe Central
Age 28
175 cm | 83 kg
View Profile",5395,"266th (442 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
8 caloriesJudged by Jean Vintevogel at CrossFit Vitus.","1264th(4:45)110 reps
312 lb.(4:45)Judged by Mareike Vieten at CrossFit Vitus.",3208th (312 lb)312 lb.(4:45)Judged by Mareike Vieten at CrossFit Vitus.,"61st (842 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
26 double-unders(12:55)Judged by Mareike Vieten at CrossFit Vitus.","477th (163 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
40 ft. handstand walk(8:36)Judged by Mareike Vieten at CrossFit Vitus.","119th (173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Mareike Vieten at CrossFit Vitus."
332,"JOSHWORKMANACCEPTED
North East
Age 20
66 in | 155 lb
View Profile",5398,"559th (432 reps)13 rounds +
8 toes-to-bars
8 clean & jerksJudged by Foster Kaalinagy at CrossFit Norwalk.","26th (3:58)110 reps
312 lb.(3:58)Judged by Foster Kaalinagy at CrossFit Norwalk.",3190th (312 lb)312 lb.(3:58)Judged by Foster Kaalinagy at CrossFit Norwalk.,"122nd (814 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
18 snatches(13:30)Judged by Travis Taylor at CrossFit Norwalk.","1455th (147 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
1 deadlifts(8:14)Judged by Foster Kaalinagy at CrossFit Norwalk.","46th (179 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
11 thr.Judged by Cary Alves at CrossFit Norwalk."
